CVE              | Snyk %  | EPSS % (Percentile) | Snyk Prob | EPSS Score | Vulnerability Score | CVSS
-----------------|---------|---------------------|-----------|------------|---------------------|-----
CVE-2019-11358   | 0.84495 | 0.84441             | 0.02403   | 0.02403    | 0.024030            | 5.6 
CVE-2020-11023   | 0.95493 | 0.95410             | 0.21319   | 0.21319    | 0.213190            | 6.3 
CVE-2020-11022   | 0.95562 | 0.95561             | 0.22547   | 0.22547    | 0.225470            | 6.5 
CVE-2015-9251    | 0.93664 | 0.93665             | 0.12796   | 0.12796    | 0.127960            | 5.4 
CVE-2020-28500   | 0.42637 | 0.42575             | 0.00202   | 0.00202    | 0.002020            | 5.3 
CVE-2021-23337   | 0.74182 | 0.74193             | 0.00859   | 0.00859    | 0.008590            | 7.2 
CVE-2019-10744   | 0.86885 | 0.86873             | 0.03410   | 0.03410    | 0.034100            | 7.3 
CVE-2020-8203    | 0.84551 | 0.84547             | 0.02439   | 0.02439    | 0.024390            | 8.2 
CVE-2018-16487   | 0.60481 | 0.60455             | 0.00409   | 0.00409    | 0.004090            | 7.3 
CVE-2019-1010266 | 0.41887 | 0.41824             | 0.00196   | 0.00196    | 0.001960            | 4.4 
CVE-2018-3721    | 0.44104 | 0.44059             | 0.00215   | 0.00215    | 0.002150            | 6.3 
CVE-2021-44906   | 0.74553 | 0.74564             | 0.00882   | 0.00882    | 0.008820            | 3.7 
